"PC1","PC2","BinomName","Order2","Order","depth_median","t_median","rmax","maxwt_all","log_wt","invtemp","invtemp_scaled","depth_scaled"
-0.889791743868631,-0.0510276811159949,"Acroteriobatus_annulatus","Rhinopristiformes","rays",36.5,21.785,0.565979797,6984.015709,8.85137934680099,39.34754073,-0.332629897,-0.296547878
-1.04230356197564,-0.169379308697368,"Aetobatus_flagellum","Myliobatiformes","rays",30,23.402,0.232729205,50000,10.8197782844103,39.1329916,-0.428394586,-0.308625329
2.36917428191998,0.0520622814961873,"Amblyraja_georgiana","Rajiformes","skates",637,3.089,0.175918412,11893.13914,9.38371696997774,42.01060287,0.856036395,0.819222804
1.00549581446485,0.814198747521265,"Amblyraja_radiata","Rajiformes","skates",232.5,6.258,0.356450865,11400,9.34136863438259,41.53412546,0.643359181,0.067633727
-1.40933545570143,-0.483857063152941,"Anoxypristis_cuspidata","Rhinopristiformes","rays",20,27.55,0.555295804,707515.8811,13.4695153550321,38.59317235,-0.669344634,-0.327206024
-0.653378159911971,-0.200887020795417,"Aptychotrema_rostrata","Rhinopristiformes","rays",110,21.272,0.18123601,6492.879645,8.77846141622087,39.41609977,-0.302028352,-0.159979776
2.81157266167599,-0.406842827231999,"Bathyraja_aleutica","Rajiformes","skates",808.5,3.175,0.273341887,23100,10.0475878965099,41.997528,0.850200388,1.137881708
1.30623332904112,0.67610919919124,"Bathyraja_brachyurops","Rajiformes","skates",316,5.394,0.460763434,16870.33741,9.73331217593277,41.66295783,0.700863922,0.222782523
2.40609248344844,-0.0292663303333329,"Bathyraja_lindbergi","Rajiformes","skates",659.5,3.3205,0.217313262,4676.060025,8.45021115933591,41.97542568,0.840334945,0.861029366
2.32477110979679,0.0286807650810825,"Bathyraja_maculata","Rajiformes","skates",633,3.4425,0.179479612,8500,9.04782144247841,41.95691107,0.832070891,0.811790526
2.75500329217791,-0.339909969445071,"Bathyraja_minispinosa","Rajiformes","skates",785,3.121,0.184627135,4612.310517,8.43648420717976,42.00573685,0.853864433,1.094217077
3.14629144283752,-0.702773717313044,"Bathyraja_parmifera","Rajiformes","skates",928.5,2.973,0.345675904,18200,9.80917687306489,42.02825163,0.863913978,1.360850038
4.70541477595338,-2.1234700808184,"Bathyraja_trachura","Rajiformes","skates",1495.5,2.2545,0.386204421,5000,8.51719319141624,42.13789871,0.912855302,2.414375395
0.529420524302075,1.26307630851428,"Beringraja_binoculata","Rajiformes","skates",56.5,6.403,0.328075682,91000,11.418614785499,41.51258232,0.633743333,-0.25938649
